Country Name,Country Code,2017,2018
Aruba,ABW,,
Africa Eastern and Southern,AFE,0.928507991,0.908093518
Afghanistan,AFG,0.134106112,0.165454682
Africa Western and Central,AFW,0.474881978,0.47830457
Angola,AGO,0.80275079,0.766143022
Albania,ALB,1.788786074,1.782738948
Andorra,AND,6.365372358,6.532201212
Arab World,ARB,4.386718652,4.246680843
United Arab Emirates,ARE,21.72844747,19.37819696
Argentina,ARG,4.071308362,3.975771971
Armenia,ARM,1.882939997,2.013003806
American Samoa,ASM,,
Antigua and Barbuda,ATG,5.487329756,5.566105586
Australia,AUS,15.82324174,15.50348628
Austria,AUT,7.486161583,7.133063919
Azerbaijan,AZE,3.243341999,3.292832354
Burundi,BDI,0.047509798,0.060034078
Belgium,BEL,8.151095679,8.196338589
Benin,BEN,0.592405864,0.621404996
Burkina Faso,BFA,0.215266714,0.229003261
Bangladesh,BGD,0.490376738,0.509823919
Bulgaria,BGR,6.20129024,5.82203361
Bahrain,BHR,20.94953883,20.71483283
"Bahamas, The",BHS,5.438324085,6.966803064
Bosnia and Herzegovina,BIH,6.592971597,6.646806748
Belarus,BLR,5.92135146,6.245507315
Belize,BLZ,1.708064964,1.648929754
Bermuda,BMU,,
Bolivia,BOL,1.989413174,2.00139482
Brazil,BRA,2.18934835,2.064980862
Barbados,BRB,4.226557639,4.433511661
Brunei Darussalam,BRN,16.94261349,17.36231034
Bhutan,BTN,1.282863495,1.377779115
Botswana,BWA,3.051826901,2.981958516
Central African Republic,CAF,0.044028698,0.045144246
Canada,CAN,15.54457104,15.65057904
Central Europe and the Baltics,CEB,6.612609217,6.568852985
Switzerland,CHE,4.578884688,4.40199099
Channel Islands,CHI,,
Chile,CHL,4.740160313,4.631191732
China,CHN,7.230985031,7.487331894
Cote d'Ivoire,CIV,0.424983645,0.399702062
Cameroon,CMR,0.375924734,0.382426004
"Congo, Dem. Rep.",COD,0.033814538,0.035826095
"Congo, Rep.",COG,1.018383584,1.192781808
Colombia,COL,1.550928775,1.594862888
Comoros,COM,0.367616168,0.386442082
Cabo Verde,CPV,1.044332767,1.067923457
Costa Rica,CRI,1.654037158,1.66047244
Caribbean small states,CSS,4.982451173,5.137870978
Cuba,CUB,2.314666755,2.357823427
Curacao,CUW,,
Cayman Islands,CYM,,
Cyprus,CYP,6.090078661,5.907299543
Czechia,CZE,9.611647341,9.492068199
Germany,DEU,8.858293847,8.536196091
Djibouti,DJI,0.403755684,0.378358648
Dominica,DMA,2.414669855,2.400350194
Denmark,DNK,5.746767737,5.718343553
Dominican Republic,DOM,2.211839912,2.35102193
Algeria,DZA,3.849132018,3.948290258
East Asia & Pacific (excluding high income),EAP,5.580868482,5.803674518
Early-demographic dividend,EAR,2.224919894,2.247948795
East Asia & Pacific,EAS,6.212693332,6.398911291
Europe & Central Asia (excluding high income),ECA,7.177095412,7.351726877
Europe & Central Asia,ECS,6.74502849,6.736416246
Ecuador,ECU,2.308805685,2.359001713
"Egypt, Arab Rep.",EGY,2.379717623,2.389706724
Euro area,EMU,6.6185962,6.435645269
Eritrea,ERI,0.211955911,0.246707621
Spain,ESP,5.654254455,5.492571471
Estonia,EST,12.68422805,11.58870366
Ethiopia,ETH,0.146213488,0.15513441
European Union,EUU,6.558763845,6.403295263
Fragile and conflict affected situations,FCS,0.780095804,0.771002029
Finland,FIN,7.810154155,8.082639791
Fiji,FJI,1.79539267,1.773674744
France,FRA,4.749542598,4.572030089
Faroe Islands,FRO,,
"Micronesia, Fed. Sts.",FSM,1.629991915,1.532511803
Gabon,GAB,2.490403966,2.335753584
United Kingdom,GBR,5.555651514,5.427748177
Georgia,GEO,2.609975618,2.568059536
Ghana,GHA,0.562830149,0.605105683
Gibraltar,GIB,,
Guinea,GIN,0.272858221,0.298689018
"Gambia, The",GMB,0.226778139,0.224956609
Guinea-Bissau,GNB,0.164908881,0.166237649
Equatorial Guinea,GNQ,3.998086565,4.280699257
Greece,GRC,6.211250289,6.0580184
Grenada,GRD,2.398259952,2.626438327
Greenland,GRL,,
Guatemala,GTM,1.029997461,1.120698338
Guam,GUM,,
Guyana,GUY,3.236152711,3.297204014
High income,HIC,10.1608903,10.12438028
"Hong Kong SAR, China",HKG,,
Honduras,HND,0.961893862,1.026258974
Heavily indebted poor countries (HIPC),HPC,0.274432354,0.280627731
Croatia,HRV,4.221085948,4.019234669
Haiti,HTI,0.306529824,0.298753559
Hungary,HUN,4.744601547,4.746529359
IBRD only,IBD,4.282216033,4.398494591
IDA & IBRD total,IBT,3.331304782,3.407282337
IDA total,IDA,0.534686446,0.531735137
IDA blend,IDB,0.862140449,0.835724437
Indonesia,IDN,1.955849726,2.160470329
IDA only,IDX,0.367837741,0.377399628
Isle of Man,IMN,,
India,IND,1.713496761,1.791032878
Not classified,INX,,
Ireland,IRL,7.858737173,7.737323783
"Iran, Islamic Rep.",IRN,7.412808941,7.445084604
Iraq,IRQ,3.914070007,4.019393455
Iceland,ISL,4.863133247,4.819673475
Israel,ISR,7.529868203,6.87621041
Italy,ITA,5.437857589,5.37687093
Jamaica,JAM,2.570880748,3.062057218
Jordan,JOR,2.559865326,2.369055498
Japan,JPN,9.098304984,8.801681435
Kazakhstan,KAZ,11.89614517,11.8513159
Kenya,KEN,0.387757343,0.350126986
Kyrgyz Republic,KGZ,1.521409491,1.779275005
Cambodia,KHM,0.801607535,0.909814876
Kiribati,KIR,0.747744334,0.736130112
St. Kitts and Nevis,KNA,5.022496487,5.234396265
"Korea, Rep.",KOR,12.20028602,12.22524582
Kuwait,KWT,21.99566423,21.16888653
Latin America & Caribbean (excluding high income),LAC,2.484712841,2.403438677
Lao PDR,LAO,2.722238523,2.724839446
Lebanon,LBN,4.79927816,4.66992989
Liberia,LBR,0.266853959,0.231112626
Libya,LBY,8.648125225,8.740631096
St. Lucia,LCA,2.991595149,2.979402609
Latin America & Caribbean,LCN,2.699347736,2.611409441
Least developed countries: UN classification,LDC,0.324530779,0.332683989
Low income,LIC,0.293293231,0.285320409
Liechtenstein,LIE,4.222861422,3.666745255
Sri Lanka,LKA,1.089349031,1.00092296
Lower middle income,LMC,1.661723951,1.730165935
Low & middle income,LMY,3.281636211,3.359939516
Lesotho,LSO,0.322488946,0.332117549
Late-demographic dividend,LTE,6.410159839,6.597812977
Lithuania,LTU,3.966902972,4.158422562
Luxembourg,LUX,15.09216281,15.33020757
Latvia,LVA,3.665855177,4.042188179
"Macao SAR, China",MAC,,
St. Martin (French part),MAF,,
Morocco,MAR,1.787879837,1.808085149
Monaco,MCO,,
Moldova,MDA,2.9253893,3.154547318
Madagascar,MDG,0.132596896,0.124783297
Maldives,MDV,3.936991238,4.287831755
Middle East & North Africa,MEA,5.532358017,5.402336731
Mexico,MEX,3.839000611,3.649350191
Marshall Islands,MHL,3.814610108,3.913979585
Middle income,MIC,3.620241972,3.71416074
North Macedonia,MKD,3.755118077,3.51601022
Mali,MLI,0.268235959,0.274401426
Malta,MLT,3.247870147,3.198316143
Myanmar,MMR,0.621553474,0.625450763
Middle East & North Africa (excluding high income),MNA,3.680911622,3.693564073
Montenegro,MNE,3.647330429,4.017826292
Mongolia,MNG,6.3242281,6.811017869
Northern Mariana Islands,MNP,,
Mozambique,MOZ,0.252367557,0.236202713
Mauritania,MRT,0.838939285,0.86402456
Mauritius,MUS,3.297451534,3.264040403
Malawi,MWI,0.066550469,0.07513114
Malaysia,MYS,7.118506884,7.543688365
North America,NAC,14.8984536,15.26852327
Namibia,NAM,1.805852646,1.758338607
New Caledonia,NCL,,
Niger,NER,0.087864883,0.086370866
Nigeria,NGA,0.560735375,0.553915601
Nicaragua,NIC,0.845609592,0.777513538
Netherlands,NLD,9.092131413,8.783850008
Norway,NOR,7.148044335,7.076542655
Nepal,NPL,0.44281343,0.532856949
Nauru,NRU,5.992124662,5.031868388
New Zealand,NZL,6.841033801,6.603273193
OECD members,OED,8.854910298,8.832554965
Oman,OMN,15.83714499,16.43064961
Other small states,OSS,6.150494581,6.006908245
Pakistan,PAK,0.918894162,0.852449537
Panama,PAN,2.473106521,2.415218377
Peru,PER,1.717106975,1.695133992
Philippines,PHL,1.250720206,1.276333177
Palau,PLW,14.57644169,13.99462606
Papua New Guinea,PNG,0.834906248,0.810356522
Poland,POL,8.238615375,8.213615723
Pre-demographic dividend,PRE,0.49527151,0.498020767
Puerto Rico,PRI,,
"Korea, Dem. People's Rep.",PRK,2.127657859,1.970891065
Portugal,PRT,5.177519279,4.813385529
Paraguay,PRY,1.268212126,1.314538119
West Bank and Gaza,PSE,,
Pacific island small states,PSS,1.388741848,1.358443424
Post-demographic dividend,PST,9.836417914,9.867219268
French Polynesia,PYF,,
Qatar,QAT,32.2816777,31.23540631
Romania,ROU,3.788405676,3.86105157
Russian Federation,RUS,11.03519747,11.49657125
Rwanda,RWA,0.097299025,0.102938057
South Asia,SAS,1.452567688,1.504340472
Saudi Arabia,SAU,15.94092541,14.88543121
Sudan,SDN,0.515243061,0.496677809
Senegal,SEN,0.64653213,0.653615395
Singapore,SGP,8.755841796,8.406228967
Solomon Islands,SLB,0.543787298,0.546075935
Sierra Leone,SLE,0.122434652,0.109396931
El Salvador,SLV,1.018087182,1.085026906
San Marino,SMR,,
Somalia,SOM,0.044401925,0.042826293
Serbia,SRB,6.74276565,6.606418045
Sub-Saharan Africa (excluding high income),SSA,0.744198216,0.733475159
South Sudan,SSD,0.14261285,0.149105425
Sub-Saharan Africa,SSF,0.744676345,0.733941129
Small states,SST,5.650748468,5.570307798
Sao Tome and Principe,STP,0.672960452,0.662427136
Suriname,SUR,4.254891849,3.722324749
Slovak Republic,SVK,6.173666031,6.058635474
Slovenia,SVN,6.833179386,6.784338879
Sweden,SWE,3.807034265,3.538991742
Eswatini,SWZ,0.772978735,0.784193441
Sint Maarten (Dutch part),SXM,,
Seychelles,SYC,6.05156332,5.994088416
Syrian Arab Republic,SYR,1.545563065,1.416714605
Turks and Caicos Islands,TCA,,
Chad,TCD,0.142517342,0.140346743
East Asia & Pacific (IDA & IBRD countries),TEA,5.623784769,5.851209678
Europe & Central Asia (IDA & IBRD countries),TEC,7.092773523,7.244518062
Togo,TGO,0.263600404,0.287074946
Thailand,THA,3.650586334,3.613917211
Tajikistan,TJK,0.825721723,0.950906528
Turkmenistan,TKM,12.25122495,12.04438716
Latin America & the Caribbean (IDA & IBRD countries),TLA,2.680150082,2.588687282
Timor-Leste,TLS,0.490655439,0.483419132
Middle East & North Africa (IDA & IBRD countries),TMN,3.683172768,3.696182974
Tonga,TON,1.707536946,1.521635724
South Asia (IDA & IBRD),TSA,1.452567688,1.504340472
Sub-Saharan Africa (IDA & IBRD countries),TSS,0.744676345,0.733941129
Trinidad and Tobago,TTO,12.34269823,11.81623868
