Country Name,Country Code,2015
Aruba,ABW,
Africa Eastern and Southern,AFE,0.956703663
Afghanistan,AFG,0.176278015
Africa Western and Central,AFW,0.485477551
Angola,AGO,1.125224458
Albania,ALB,1.60377515
Andorra,AND,6.550887838
Arab World,ARB,4.472560646
United Arab Emirates,ARE,21.89550487
Argentina,ARG,4.301913876
Armenia,ARM,1.855071711
American Samoa,ASM,
Antigua and Barbuda,ATG,5.448016028
Australia,AUS,15.863288
Austria,AUT,7.317158873
Azerbaijan,AZE,3.292452869
Burundi,BDI,0.03728857
Belgium,BEL,8.437851999
Benin,BEN,0.503988804
Burkina Faso,BFA,0.197670493
Bangladesh,BGD,0.457390879
Bulgaria,BGR,6.207865317
Bahrain,BHR,22.44993541
"Bahamas, The",BHS,5.627748718
Bosnia and Herzegovina,BIH,5.56702529
Belarus,BLR,5.79426692
Belize,BLZ,1.889566003
Bermuda,BMU,
Bolivia,BOL,1.871942391
Brazil,BRA,2.365340621
Barbados,BRB,4.566981732
Brunei Darussalam,BRN,15.18613718
Bhutan,BTN,1.035957105
Botswana,BWA,3.01496063
Central African Republic,CAF,0.039424542
Canada,CAN,15.64858561
Central Europe and the Baltics,CEB,6.235843223
Switzerland,CHE,4.719648777
Channel Islands,CHI,
Chile,CHL,4.60153513
China,CHN,7.146449357
Cote d'Ivoire,CIV,0.415735394
Cameroon,CMR,0.367623959
"Congo, Dem. Rep.",COD,0.041064418
"Congo, Rep.",COG,1.117608304
Colombia,COL,1.702683924
Comoros,COM,0.26019698
Cabo Verde,CPV,0.905524788
Costa Rica,CRI,1.540271137
Caribbean small states,CSS,5.441130193
Cuba,CUB,2.575861739
Curacao,CUW,
Cayman Islands,CYM,
Cyprus,CYP,5.769489846
Czechia,CZE,9.400668002
Germany,DEU,9.087290909
Djibouti,DJI,0.457138777
Dominica,DMA,2.571171556
Denmark,DNK,5.929462754
Dominican Republic,DOM,2.266997983
Algeria,DZA,3.95188518
East Asia & Pacific (excluding high income),EAP,5.498354389
Early-demographic dividend,EAR,2.16491432
East Asia & Pacific,EAS,6.140153263
Europe & Central Asia (excluding high income),ECA,7.02726693
Europe & Central Asia,ECS,6.705429407
Ecuador,ECU,2.56361149
"Egypt, Arab Rep.",EGY,2.315505548
Euro area,EMU,6.646929102
Eritrea,ERI,0.194610422
Spain,ESP,5.51794436
Estonia,EST,11.81383402
Ethiopia,ETH,0.125790592
European Union,EUU,6.513484063
Fragile and conflict affected situations,FCS,0.784072245
Finland,FIN,7.814537356
Fiji,FJI,1.504579149
France,FRA,4.677807228
Faroe Islands,FRO,
"Micronesia, Fed. Sts.",FSM,1.370338619
Gabon,GAB,3.016982301
United Kingdom,GBR,6.159448333
Georgia,GEO,2.469615623
Ghana,GHA,0.546570367
Gibraltar,GIB,
Guinea,GIN,0.218475864
"Gambia, The",GMB,0.235228001
Guinea-Bissau,GNB,0.156519105
Equatorial Guinea,GNQ,4.877603465
Greece,GRC,6.28506954
Grenada,GRD,2.269289046
Greenland,GRL,
Guatemala,GTM,1.049628082
Guam,GUM,
Guyana,GUY,2.754853673
High income,HIC,10.41209426
"Hong Kong SAR, China",HKG,
Honduras,HND,1.068373228
Heavily indebted poor countries (HIPC),HPC,0.266321288
Croatia,HRV,3.948992432
Haiti,HTI,0.310495591
